,Unnamed: 0,Team,G,MP,FG,FGA,FG%,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10,10,Boston_Celtics,82,240.9,38.6,85.8,0.45,9.0,27.0,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
13,13,Washington_Wizards,82,242.1,39.7,85.1,0.466,9.9,27.1,0.364,29.8,58.0,0.514,18.2,24.2,0.7509999999999999,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4
4,4,Toronto_Raptors,82,241.2,37.2,82.9,0.449,9.7,27.3,0.354,27.5,55.6,0.495,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
12,12,Cleveland_Cavaliers,82,242.4,40.6,88.8,0.458,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20.0,0.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
7,7,Golden_State_Warriors,82,241.2,38.8,89.2,0.435,9.0,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.7609999999999999,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
8,8,LA_Clippers,82,240.9,38.6,85.4,0.452,9.2,26.3,0.35,29.4,59.1,0.4970000000000001,18.0,23.4,0.772,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4
15,15,Houston_Rockets,82,241.2,41.2,88.9,0.463,10.0,29.1,0.343,31.2,59.7,0.522,17.3,22.2,0.778,10.7,33.4,44.1,24.1,8.5,5.0,15.1,20.4,109.6
1,1,San_Antonio_Spurs,82,241.5,37.0,83.4,0.443,8.1,23.7,0.344,28.8,59.7,0.483,16.0,20.8,0.7709999999999999,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
10,10,Boston_Celtics,82,240.9,38.6,85.8,0.45,9.0,27.0,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
4,4,Toronto_Raptors,82,241.2,37.2,82.9,0.449,9.7,27.3,0.354,27.5,55.6,0.495,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
7,7,Golden_State_Warriors,82,241.2,38.8,89.2,0.435,9.0,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.7609999999999999,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
1,1,San_Antonio_Spurs,82,241.5,37.0,83.4,0.443,8.1,23.7,0.344,28.8,59.7,0.483,16.0,20.8,0.7709999999999999,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
10,10,Boston_Celtics,82,240.9,38.6,85.8,0.45,9.0,27.0,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
7,7,Golden_State_Warriors,82,241.2,38.8,89.2,0.435,9.0,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.7609999999999999,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
12,12,Cleveland_Cavaliers,82,242.4,40.6,88.8,0.458,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20.0,0.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
