,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Chicago_Bulls*,82,243.0,35.0,81.2,0.43,6.6,18.7,0.35100000000000003,28.4,62.5,0.45399999999999996,15.3,20.3,0.753,10.7,30.6,41.3,19.6,7.6,6.0,14.4,20.9,91.8
1,Indiana_Pacers*,82,241.2,34.8,82.7,0.42,6.6,19.0,0.345,28.2,63.7,0.44299999999999995,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3
2,Memphis_Grizzlies*,82,241.5,35.7,79.3,0.45,7.5,21.1,0.355,28.2,58.2,0.484,15.8,20.6,0.7659999999999999,9.9,29.3,39.2,19.9,7.2,5.0,14.2,18.9,94.6
3,Charlotte_Bobcats*,82,242.7,36.9,83.4,0.442,8.1,22.0,0.369,28.7,61.4,0.46799999999999997,15.3,20.1,0.759,9.6,33.7,43.3,21.0,6.3,5.1,13.3,20.9,97.1
4,Miami_Heat*,82,242.4,36.1,79.0,0.457,8.5,23.4,0.36200000000000004,27.6,55.6,0.49700000000000005,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4
5,San_Antonio_Spurs*,82,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6
6,Toronto_Raptors*,82,243.4,36.1,80.2,0.45,6.9,19.2,0.36,29.1,60.9,0.478,19.0,25.3,0.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0
7,Washington_Wizards*,82,244.6,37.0,80.9,0.45799999999999996,7.5,21.5,0.34700000000000003,29.6,59.4,0.498,17.8,23.3,0.765,10.1,32.1,42.2,22.2,7.7,3.9,16.0,19.5,99.4
8,Golden_State_Warriors*,82,241.8,36.8,84.4,0.436,6.9,20.2,0.344,29.9,64.2,0.465,18.9,24.7,0.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5
9,Brooklyn_Nets*,82,242.4,36.3,79.4,0.45799999999999996,8.1,22.0,0.36700000000000005,28.3,57.4,0.49200000000000005,18.8,24.7,0.76,11.2,31.6,42.9,21.0,7.4,4.1,15.8,20.8,99.5
10,Oklahoma_City_Thunder*,82,241.5,36.4,83.4,0.436,8.6,24.0,0.358,27.8,59.4,0.46799999999999997,18.4,25.4,0.727,11.0,30.0,40.9,21.8,8.2,3.6,15.2,20.4,99.8
11,LA_Clippers*,82,240.9,37.4,84.9,0.441,7.3,21.8,0.332,30.2,63.0,0.479,18.9,25.0,0.755,12.3,31.4,43.7,23.3,7.0,3.5,15.4,23.4,101.0
12,Atlanta_Hawks*,82,241.8,38.6,83.5,0.462,8.0,21.9,0.365,30.6,61.6,0.49700000000000005,16.4,21.9,0.748,10.8,32.8,43.5,23.2,8.2,4.3,15.2,20.0,101.5
13,Dallas_Mavericks*,82,241.8,37.8,81.4,0.46399999999999997,8.3,23.0,0.359,29.5,58.4,0.505,18.7,24.6,0.758,11.5,31.3,42.8,22.0,7.7,3.5,16.0,19.9,102.4
14,Portland_Trail_Blazers*,82,242.1,39.6,87.8,0.451,6.5,18.3,0.355,33.1,69.5,0.47600000000000003,17.0,22.2,0.7659999999999999,11.5,32.0,43.5,20.4,7.8,3.7,12.0,20.7,102.8
15,Houston_Rockets*,82,241.8,39.0,88.0,0.44299999999999995,8.1,23.0,0.353,30.9,65.0,0.475,17.0,22.5,0.757,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1
