,TEAM,GP,W,L,WIN%,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS/MINUS
0,Golden_State_Warriors,82,73,9,0.89,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8
1,San_Antonio_Spurs,82,67,15,0.8170000000000001,103.5,40.1,82.9,48.4,7.0,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,10.6
2,Cleveland_Cavaliers,82,57,25,0.695,104.3,38.7,84.0,46.0,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6.0
3,Toronto_Raptors,82,56,26,0.6829999999999999,102.7,36.7,81.3,45.1,8.6,23.3,37.0,20.8,26.7,77.7,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22.0,4.5
4,Oklahoma_City_Thunder,82,55,27,0.6709999999999999,110.2,41.1,86.4,47.6,8.2,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23.0,15.9,7.4,5.9,4.5,20.6,20.2,7.3
5,LA_Clippers,82,53,29,0.6459999999999999,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42.0,22.8,13.0,8.6,5.6,3.2,21.3,22.5,4.3
6,Miami_Heat,82,48,34,0.585,100.0,38.4,81.7,47.0,6.1,18.0,33.6,17.1,23.0,74.5,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,1.6
7,Boston_Celtics,82,48,34,0.585,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,3.2
8,Charlotte_Hornets,82,48,34,0.585,103.4,37.0,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79.0,9.0,35.0,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7
9,Atlanta_Hawks,82,48,34,0.585,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6
10,Indiana_Pacers,82,45,37,0.5489999999999999,102.2,38.3,85.2,45.0,8.1,23.0,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9.0,4.8,4.5,20.0,20.4,1.7
11,Detroit_Pistons,82,44,38,0.537,201.0,37.9,86.4,43.9,9.0,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7.0,3.7,4.5,19.0,21.6,0.6
12,Portland_Trail_Blazers,82,44,38,0.537,105.1,38.6,85.9,45.0,10.5,28.5,37.0,17.4,23.0,76.4,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,0.8
13,Dallas_Mavericks,82,42,40,0.512,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,-0.3
14,Memphis_Grizzlies,82,42,40,0.512,99.1,36.8,83.6,44.0,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,-2.2
15,Hoston_Rockets,82,41,41,0.5,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10.0,5.2,4.9,21.8,22.5,0.2
